Date : 2023-05-13 09:50:15
Directory : c:\xampp\htdocs\charity
Total : 1989 files,  545970 codes, 77220 comments, 88068 blanks, all 711258 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.brazil.js                               | JavaScript   |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.canada.js                               | JavaScript   |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.croatia.js                              | JavaScript   |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.europe.js                               | JavaScript   |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.france.js                               | JavaScript   |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.germany.js                              | JavaScript   |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.greece.js                               | JavaScript   |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.indonesia.js                            | JavaScript   |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.iran.js                                 | JavaScript   |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.iraq.js                                 | JavaScript   |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.new_regions_france.js                   | JavaScript   |         31 |          0 |          2 |         33 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.russia.js                               | JavaScript   |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.serbia.js                               | JavaScript   |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.tunisia.js                              | JavaScript   |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.turkey.js                               | JavaScript   |          6 |          5 |          1 |         12 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.ukraine.js                              | JavaScript   |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.usa.counties.js                         | JavaScript   |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.usa.districts.js                        | JavaScript   |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.usa.js                                  | JavaScript   |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\charity\plugins\jqvmap\maps\jquery.vmap.world.js                                | JavaScript   |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\charity\plugins\jsgrid\demos\db.js                                              | JavaScript   |        872 |          0 |         12 |        884 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-de.js                                        | JavaScript   |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-es.js                                        | JavaScript   |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-fr.js                                        | JavaScript   |         41 |          0 |          7 |         48 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-he.js                                        | JavaScript   |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-ja.js                                        | JavaScript   |         41 |          0 |          5 |         46 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-ka.js                                        | JavaScript   |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-pl.js                                        | JavaScript   |         57 |          0 |          6 |         63 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-pt-br.js                                     | JavaScript   |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-pt.js                                        | JavaScript   |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-ru.js                                        | JavaScript   |         41 |          0 |          7 |         48 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-tr.js                                        | JavaScript   |         41 |          0 |          7 |         48 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-zh-cn.js                                     | JavaScript   |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\charity\plugins\jsgrid\i18n\jsgrid-zh-tw.js                                     | JavaScript   |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\charity\plugins\jsgrid\jsgrid-theme.css                                         | CSS          |        207 |          6 |         46 |        259 |
| c:\xampp\htdocs\charity\plugins\jsgrid\jsgrid-theme.min.css                                     | CSS          |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\jsgrid\jsgrid.css                                               | CSS          |         99 |          5 |         23 |        127 |
| c:\xampp\htdocs\charity\plugins\jsgrid\jsgrid.js                                                | JavaScript   |      1,961 |          5 |        551 |      2,517 |
| c:\xampp\htdocs\charity\plugins\jsgrid\jsgrid.min.css                                           | CSS          |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\jsgrid\jsgrid.min.js                                            | JavaScript   |          2 |          5 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\jszip\jszip.js                                                  | JavaScript   |      6,672 |      3,370 |      1,327 |     11,369 |
| c:\xampp\htdocs\charity\plugins\jszip\jszip.min.js                                              | JavaScript   |          1 |         11 |          1 |         13 |
| c:\xampp\htdocs\charity\plugins\moment\locale\af.js                                             | JavaScript   |         73 |          4 |          6 |         83 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ar-dz.js                                          | JavaScript   |        153 |          8 |          7 |        168 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ar-kw.js                                          | JavaScript   |         56 |          4 |          6 |         66 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ar-ly.js                                          | JavaScript   |        172 |          4 |          7 |        183 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ar-ma.js                                          | JavaScript   |         56 |          5 |          6 |         67 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ar-sa.js                                          | JavaScript   |        105 |          4 |          7 |        116 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ar-tn.js                                          | JavaScript   |         56 |          4 |          6 |         66 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ar.js                                             | JavaScript   |        188 |          6 |          7 |        201 |
| c:\xampp\htdocs\charity\plugins\moment\locale\az.js                                             | JavaScript   |        101 |          5 |          7 |        113 |
| c:\xampp\htdocs\charity\plugins\moment\locale\be.js                                             | JavaScript   |        140 |          6 |          7 |        153 |
| c:\xampp\htdocs\charity\plugins\moment\locale\bg.js                                             | JavaScript   |         89 |          4 |          6 |         99 |
| c:\xampp\htdocs\charity\plugins\moment\locale\bm.js                                             | JavaScript   |         53 |          4 |          6 |         63 |
| c:\xampp\htdocs\charity\plugins\moment\locale\bn-bd.js                                          | JavaScript   |        127 |          4 |          9 |        140 |
| c:\xampp\htdocs\charity\plugins\moment\locale\bn.js                                             | JavaScript   |        119 |          4 |          7 |        130 |
| c:\xampp\htdocs\charity\plugins\moment\locale\bo.js                                             | JavaScript   |        123 |          4 |          7 |        134 |
| c:\xampp\htdocs\charity\plugins\moment\locale\br.js                                             | JavaScript   |        163 |          4 |         10 |        177 |
| c:\xampp\htdocs\charity\plugins\moment\locale\bs.js                                             | JavaScript   |        149 |          5 |          7 |        161 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ca.js                                             | JavaScript   |         99 |          4 |          6 |        109 |
| c:\xampp\htdocs\charity\plugins\moment\locale\cs.js                                             | JavaScript   |        167 |          8 |          8 |        183 |
| c:\xampp\htdocs\charity\plugins\moment\locale\cv.js                                             | JavaScript   |         64 |          4 |          6 |         74 |
| c:\xampp\htdocs\charity\plugins\moment\locale\cy.js                                             | JavaScript   |         96 |          7 |          6 |        109 |
| c:\xampp\htdocs\charity\plugins\moment\locale\da.js                                             | JavaScript   |         55 |          4 |          6 |         65 |
| c:\xampp\htdocs\charity\plugins\moment\locale\de-at.js                                          | JavaScript   |         77 |          7 |          7 |         91 |
| c:\xampp\htdocs\charity\plugins\moment\locale\de-ch.js                                          | JavaScript   |         77 |          4 |          7 |         88 |
| c:\xampp\htdocs\charity\plugins\moment\locale\de.js                                             | JavaScript   |         77 |          6 |          7 |         90 |
| c:\xampp\htdocs\charity\plugins\moment\locale\dv.js                                             | JavaScript   |         91 |          4 |          7 |        102 |
| c:\xampp\htdocs\charity\plugins\moment\locale\el.js                                             | JavaScript   |        104 |          5 |          7 |        116 |
| c:\xampp\htdocs\charity\plugins\moment\locale\en-SG.js                                          | JavaScript   |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\en-au.js                                          | JavaScript   |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\en-ca.js                                          | JavaScript   |         66 |          4 |          6 |         76 |
| c:\xampp\htdocs\charity\plugins\moment\locale\en-gb.js                                          | JavaScript   |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\en-ie.js                                          | JavaScript   |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\en-il.js                                          | JavaScript   |         66 |          4 |          6 |         76 |
| c:\xampp\htdocs\charity\plugins\moment\locale\en-in.js                                          | JavaScript   |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\en-nz.js                                          | JavaScript   |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\eo.js                                             | JavaScript   |         67 |          7 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\es-do.js                                          | JavaScript   |        106 |          3 |          7 |        116 |
| c:\xampp\htdocs\charity\plugins\moment\locale\es-mx.js                                          | JavaScript   |        107 |          4 |          7 |        118 |
| c:\xampp\htdocs\charity\plugins\moment\locale\es-us.js                                          | JavaScript   |        106 |          5 |          7 |        118 |
| c:\xampp\htdocs\charity\plugins\moment\locale\es.js                                             | JavaScript   |        107 |          4 |          7 |        118 |
| c:\xampp\htdocs\charity\plugins\moment\locale\et.js                                             | JavaScript   |         78 |          5 |          7 |         90 |
| c:\xampp\htdocs\charity\plugins\moment\locale\eu.js                                             | JavaScript   |         65 |          4 |          6 |         75 |
| c:\xampp\htdocs\charity\plugins\moment\locale\fa.js                                             | JavaScript   |        111 |          4 |          7 |        122 |
| c:\xampp\htdocs\charity\plugins\moment\locale\fi.js                                             | JavaScript   |        122 |          4 |          7 |        133 |
| c:\xampp\htdocs\charity\plugins\moment\locale\fil.js                                            | JavaScript   |         59 |          5 |          6 |         70 |
| c:\xampp\htdocs\charity\plugins\moment\locale\fo.js                                             | JavaScript   |         57 |          5 |          6 |         68 |
| c:\xampp\htdocs\charity\plugins\moment\locale\fr-ca.js                                          | JavaScript   |         68 |          6 |          7 |         81 |
| c:\xampp\htdocs\charity\plugins\moment\locale\fr-ch.js                                          | JavaScript   |         72 |          6 |          7 |         85 |
| c:\xampp\htdocs\charity\plugins\moment\locale\fr.js                                             | JavaScript   |         98 |          9 |          9 |        116 |
| c:\xampp\htdocs\charity\plugins\moment\locale\fy.js                                             | JavaScript   |         78 |          4 |          7 |         89 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ga.js                                             | JavaScript   |         96 |          4 |          7 |        107 |
| c:\xampp\htdocs\charity\plugins\moment\locale\gd.js                                             | JavaScript   |         96 |          4 |          7 |        107 |
| c:\xampp\htdocs\charity\plugins\moment\locale\gl.js                                             | JavaScript   |         76 |          4 |          6 |         86 |
| c:\xampp\htdocs\charity\plugins\moment\locale\gom-deva.js                                       | JavaScript   |        124 |          5 |          7 |        136 |
| c:\xampp\htdocs\charity\plugins\moment\locale\gom-latn.js                                       | JavaScript   |        124 |          5 |          7 |        136 |
| c:\xampp\htdocs\charity\plugins\moment\locale\gu.js                                             | JavaScript   |        120 |          6 |          7 |        133 |
| c:\xampp\htdocs\charity\plugins\moment\locale\he.js                                             | JavaScript   |         94 |          6 |          6 |        106 |
| c:\xampp\htdocs\charity\plugins\moment\locale\hi.js                                             | JavaScript   |        157 |          6 |         13 |        176 |
| c:\xampp\htdocs\charity\plugins\moment\locale\hr.js                                             | JavaScript   |        155 |          4 |          7 |        166 |
| c:\xampp\htdocs\charity\plugins\moment\locale\hu.js                                             | JavaScript   |        118 |          5 |          7 |        130 |
| c:\xampp\htdocs\charity\plugins\moment\locale\hy-am.js                                          | JavaScript   |         94 |          4 |          6 |        104 |
| c:\xampp\htdocs\charity\plugins\moment\locale\id.js                                             | JavaScript   |         77 |          5 |          6 |         88 |
| c:\xampp\htdocs\charity\plugins\moment\locale\is.js                                             | JavaScript   |        140 |          4 |          7 |        151 |
| c:\xampp\htdocs\charity\plugins\moment\locale\it-ch.js                                          | JavaScript   |         66 |          4 |          6 |         76 |
| c:\xampp\htdocs\charity\plugins\moment\locale\it.js                                             | JavaScript   |        106 |          6 |          6 |        118 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ja.js                                             | JavaScript   |        150 |          4 |          6 |        160 |
| c:\xampp\htdocs\charity\plugins\moment\locale\jv.js                                             | JavaScript   |         77 |          5 |          6 |         88 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ka.js                                             | JavaScript   |         94 |          4 |          6 |        104 |
| c:\xampp\htdocs\charity\plugins\moment\locale\kk.js                                             | JavaScript   |         83 |          4 |          7 |         94 |
| c:\xampp\htdocs\charity\plugins\moment\locale\km.js                                             | JavaScript   |        103 |          4 |          7 |        114 |
| c:\xampp\htdocs\charity\plugins\moment\locale\kn.js                                             | JavaScript   |        124 |          4 |          7 |        135 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ko.js                                             | JavaScript   |         76 |          5 |          6 |         87 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ku.js                                             | JavaScript   |        119 |          4 |          7 |        130 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ky.js                                             | JavaScript   |         85 |          4 |          7 |         96 |
| c:\xampp\htdocs\charity\plugins\moment\locale\lb.js                                             | JavaScript   |        122 |         18 |          7 |        147 |
| c:\xampp\htdocs\charity\plugins\moment\locale\lo.js                                             | JavaScript   |         67 |          4 |          6 |         77 |
| c:\xampp\htdocs\charity\plugins\moment\locale\lt.js                                             | JavaScript   |        125 |          4 |          6 |        135 |
| c:\xampp\htdocs\charity\plugins\moment\locale\lv.js                                             | JavaScript   |         87 |         11 |          7 |        105 |
| c:\xampp\htdocs\charity\plugins\moment\locale\me.js                                             | JavaScript   |        117 |          5 |          8 |        130 |
| c:\xampp\htdocs\charity\plugins\moment\locale\mi.js                                             | JavaScript   |         61 |          4 |          6 |         71 |
| c:\xampp\htdocs\charity\plugins\moment\locale\mk.js                                             | JavaScript   |         87 |          5 |          6 |         98 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ml.js                                             | JavaScript   |         82 |          4 |          6 |         92 |
| c:\xampp\htdocs\charity\plugins\moment\locale\mn.js                                             | JavaScript   |        100 |          4 |          7 |        111 |
| c:\xampp\htdocs\charity\plugins\moment\locale\mr.js                                             | JavaScript   |        201 |          5 |          8 |        214 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ms-my.js                                          | JavaScript   |         77 |          5 |          6 |         88 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ms.js                                             | JavaScript   |         77 |          4 |          6 |         87 |
| c:\xampp\htdocs\charity\plugins\moment\locale\mt.js                                             | JavaScript   |         57 |          4 |          6 |         67 |
| c:\xampp\htdocs\charity\plugins\moment\locale\my.js                                             | JavaScript   |         89 |          6 |          8 |        103 |
| c:\xampp\htdocs\charity\plugins\moment\locale\nb.js                                             | JavaScript   |         61 |          6 |          6 |         73 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ne.js                                             | JavaScript   |        121 |          4 |          7 |        132 |
| c:\xampp\htdocs\charity\plugins\moment\locale\nl-be.js                                          | JavaScript   |         99 |          5 |         10 |        114 |
| c:\xampp\htdocs\charity\plugins\moment\locale\nl.js                                             | JavaScript   |        101 |          5 |         10 |        116 |
| c:\xampp\htdocs\charity\plugins\moment\locale\nn.js                                             | JavaScript   |         61 |          5 |          6 |         72 |
| c:\xampp\htdocs\charity\plugins\moment\locale\oc-lnc.js                                         | JavaScript   |         85 |          4 |          6 |         95 |
| c:\xampp\htdocs\charity\plugins\moment\locale\pa-in.js                                          | JavaScript   |        119 |          7 |          7 |        133 |
| c:\xampp\htdocs\charity\plugins\moment\locale\pl.js                                             | JavaScript   |        136 |          4 |         11 |        151 |
| c:\xampp\htdocs\charity\plugins\moment\locale\pt-br.js                                          | JavaScript   |         59 |          4 |          6 |         69 |
| c:\xampp\htdocs\charity\plugins\moment\locale\pt.js                                             | JavaScript   |         64 |          4 |          6 |         74 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ro.js                                             | JavaScript   |         74 |          6 |          7 |         87 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ru.js                                             | JavaScript   |        193 |         14 |         11 |        218 |
| c:\xampp\htdocs\charity\plugins\moment\locale\sd.js                                             | JavaScript   |         82 |          4 |          7 |         93 |
| c:\xampp\htdocs\charity\plugins\moment\locale\se.js                                             | JavaScript   |         59 |          4 |          6 |         69 |
| c:\xampp\htdocs\charity\plugins\moment\locale\si.js                                             | JavaScript   |         69 |          5 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\sk.js                                             | JavaScript   |        144 |          5 |          7 |        156 |
| c:\xampp\htdocs\charity\plugins\moment\locale\sl.js                                             | JavaScript   |        170 |          4 |          8 |        182 |
| c:\xampp\htdocs\charity\plugins\moment\locale\sq.js                                             | JavaScript   |         65 |          6 |          6 |         77 |
| c:\xampp\htdocs\charity\plugins\moment\locale\sr-cyrl.js                                        | JavaScript   |        115 |          6 |          7 |        128 |
| c:\xampp\htdocs\charity\plugins\moment\locale\sr.js                                             | JavaScript   |        117 |          6 |          7 |        130 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ss.js                                             | JavaScript   |         85 |          4 |          6 |         95 |
| c:\xampp\htdocs\charity\plugins\moment\locale\sv.js                                             | JavaScript   |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\sw.js                                             | JavaScript   |         56 |          4 |          6 |         66 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ta.js                                             | JavaScript   |        129 |          5 |          7 |        141 |
| c:\xampp\htdocs\charity\plugins\moment\locale\te.js                                             | JavaScript   |         88 |          4 |          6 |         98 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tet.js                                            | JavaScript   |         68 |          6 |          6 |         80 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tg.js                                             | JavaScript   |        117 |          4 |          7 |        128 |
| c:\xampp\htdocs\charity\plugins\moment\locale\th.js                                             | JavaScript   |         66 |          4 |          6 |         76 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tk.js                                             | JavaScript   |         91 |          5 |          7 |        103 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tl-ph.js                                          | JavaScript   |         59 |          4 |          6 |         69 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tlh.js                                            | JavaScript   |        122 |          4 |         11 |        137 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tr.js                                             | JavaScript   |        105 |          6 |          7 |        118 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tzl.js                                            | JavaScript   |         87 |          7 |          7 |        101 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tzm-latn.js                                       | JavaScript   |         55 |          4 |          6 |         65 |
| c:\xampp\htdocs\charity\plugins\moment\locale\tzm.js                                            | JavaScript   |         55 |          4 |          6 |         65 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ug-cn.js                                          | JavaScript   |        110 |          5 |          7 |        122 |
| c:\xampp\htdocs\charity\plugins\moment\locale\uk.js                                             | JavaScript   |        160 |          6 |          9 |        175 |
| c:\xampp\htdocs\charity\plugins\moment\locale\ur.js                                             | JavaScript   |         82 |          5 |          7 |         94 |
| c:\xampp\htdocs\charity\plugins\moment\locale\uz-latn.js                                        | JavaScript   |         55 |          4 |          6 |         65 |
| c:\xampp\htdocs\charity\plugins\moment\locale\uz.js                                             | JavaScript   |         53 |          4 |          6 |         63 |
| c:\xampp\htdocs\charity\plugins\moment\locale\vi.js                                             | JavaScript   |         80 |          5 |          6 |         91 |
| c:\xampp\htdocs\charity\plugins\moment\locale\x-pseudo.js                                       | JavaScript   |         73 |          4 |          6 |         83 |
| c:\xampp\htdocs\charity\plugins\moment\locale\yo.js                                             | JavaScript   |         55 |          4 |          6 |         65 |
| c:\xampp\htdocs\charity\plugins\moment\locale\zh-cn.js                                          | JavaScript   |        118 |          8 |          6 |        132 |
| c:\xampp\htdocs\charity\plugins\moment\locale\zh-hk.js                                          | JavaScript   |        100 |          7 |          6 |        113 |
| c:\xampp\htdocs\charity\plugins\moment\locale\zh-mo.js                                          | JavaScript   |        100 |          6 |          6 |        112 |
| c:\xampp\htdocs\charity\plugins\moment\locale\zh-tw.js                                          | JavaScript   |        100 |          5 |          6 |        111 |
| c:\xampp\htdocs\charity\plugins\moment\locales.js                                               | JavaScript   |     11,848 |        201 |        381 |     12,430 |
| c:\xampp\htdocs\charity\plugins\moment\locales.min.js                                           | JavaScript   |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\charity\plugins\moment\moment-with-locales.js                                   | JavaScript   |     16,408 |        541 |      1,135 |     18,084 |
| c:\xampp\htdocs\charity\plugins\moment\moment-with-locales.min.js                               | JavaScript   |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\charity\plugins\moment\moment.min.js                                            | JavaScript   |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\charity\plugins\overlayScrollbars\css\OverlayScrollbars.css                     | CSS          |        605 |         24 |          7 |        636 |
| c:\xampp\htdocs\charity\plugins\overlayScrollbars\css\OverlayScrollbars.min.css                 | CSS          |          1 |         12 |          0 |         13 |
| c:\xampp\htdocs\charity\plugins\overlayScrollbars\js\OverlayScrollbars.js                       | JavaScript   |      4,858 |      1,125 |        678 |      6,661 |
| c:\xampp\htdocs\charity\plugins\overlayScrollbars\js\OverlayScrollbars.min.js                   | JavaScript   |          1 |         12 |          0 |         13 |
| c:\xampp\htdocs\charity\plugins\overlayScrollbars\js\jquery.overlayScrollbars.js                | JavaScript   |      3,967 |      1,067 |        544 |      5,578 |
| c:\xampp\htdocs\charity\plugins\overlayScrollbars\js\jquery.overlayScrollbars.min.js            | JavaScript   |          1 |         12 |          0 |         13 |
| c:\xampp\htdocs\charity\plugins\pace-progress\pace.js                                           | JavaScript   |        842 |          0 |        105 |        947 |
| c:\xampp\htdocs\charity\plugins\pace-progress\pace.min.js                                       | JavaScript   |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-barber-shop.css           | CSS          |         73 |          1 |         10 |         84 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-big-counter.css           | CSS          |         34 |          1 |          6 |         41 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-bounce.css                | CSS          |        221 |          1 |          9 |        231 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-center-atom.css           | CSS          |        116 |          1 |         15 |        132 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-center-circle.css         | CSS          |         76 |          1 |         14 |         91 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-center-radar.css          | CSS          |         69 |          1 |         13 |         83 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-center-simple.css         | CSS          |         44 |          1 |          7 |         52 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-corner-indicator.css      | CSS          |         65 |          1 |          8 |         74 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-fill-left.css             | CSS          |         19 |          1 |          3 |         23 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-flash.css                 | CSS          |         71 |          1 |          6 |         78 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-flat-top.css              | CSS          |         33 |          1 |          8 |         42 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-loading-bar.css           | CSS          |        181 |          1 |         17 |        199 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-mac-osx.css               | CSS          |         75 |          1 |         12 |         88 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-material.css              | CSS          |        283 |          1 |         10 |        294 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\black\pace-theme-minimal.css               | CSS          |         19 |          1 |          4 |         24 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-barber-shop.css            | CSS          |         73 |          1 |         10 |         84 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-big-counter.css            | CSS          |         34 |          1 |          6 |         41 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-bounce.css                 | CSS          |        221 |          1 |          9 |        231 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-center-atom.css            | CSS          |        116 |          1 |         15 |        132 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-center-circle.css          | CSS          |         76 |          1 |         14 |         91 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-center-radar.css           | CSS          |         69 |          1 |         13 |         83 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-center-simple.css          | CSS          |         44 |          1 |          7 |         52 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-corner-indicator.css       | CSS          |         65 |          1 |          8 |         74 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-fill-left.css              | CSS          |         19 |          1 |          3 |         23 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-flash.css                  | CSS          |         71 |          1 |          6 |         78 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-flat-top.css               | CSS          |         33 |          1 |          8 |         42 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-loading-bar.css            | CSS          |        181 |          1 |         17 |        199 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-mac-osx.css                | CSS          |         75 |          1 |         12 |         88 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-material.css               | CSS          |        283 |          1 |         10 |        294 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\blue\pace-theme-minimal.css                | CSS          |         19 |          1 |          4 |         24 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\green\pace-theme-barber-shop.css           | CSS          |         73 |          1 |         10 |         84 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\green\pace-theme-big-counter.css           | CSS          |         34 |          1 |          6 |         41 |
| c:\xampp\htdocs\charity\plugins\pace-progress\themes\green\pace-theme-bounce.css                | CSS          |        221 |          1 |          9 |        231 |
